                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3982,                 4.0167,                 1.5359,                0.00428,                0.80566,                0.15001,                0.10588,                0.93141,                 4.0485,                 1.1838,                0.00018,                0.00018,                0.00018
                      2,                 1.1445,                 3.0856,                  1.311,                0.83218,                0.09723,                0.38982,                0.27565,                0.88831,                 3.0087,                 1.0382,             0.00036963,             0.00036963,             0.00036963
                      3,                 1.0811,                 2.3566,                 1.2461,                0.82907,                0.31006,                0.49856,                0.33221,                 1.0195,                 2.6111,                 1.1582,             0.00055889,             0.00055889,             0.00055889
                      4,                 1.0386,                 2.0124,                  1.213,                0.81964,                0.49691,                0.60991,                 0.4695,                0.85136,                 2.3953,                 1.0314,             0.00074777,             0.00074777,             0.00074777
                      5,                 1.0351,                 1.9341,                 1.2163,                  0.803,                0.38206,                0.46805,                0.33369,                  1.099,                 2.9103,                 1.3061,             0.00093628,             0.00093628,             0.00093628
                      6,                 1.0099,                 1.8438,                 1.2031,                0.56181,                0.52489,                0.54955,                0.36995,                 1.1865,                 2.6789,                 1.3592,             0.00099505,             0.00099505,             0.00099505
                      7,                 1.0125,                 1.7159,                 1.1979,                0.64093,                0.56909,                0.58719,                0.39336,                 1.0088,                 2.6594,                 1.2911,             0.00099505,             0.00099505,             0.00099505
                      8,                0.98709,                 1.5775,                 1.1691,                0.73495,                0.68404,                0.79122,                 0.5742,                0.93231,                 1.6292,                  1.143,             0.00099406,             0.00099406,             0.00099406
                      9,                0.94809,                  1.548,                 1.1701,                0.76468,                0.69331,                0.81388,                0.62013,                0.95054,                 1.7829,                 1.1474,             0.00099307,             0.00099307,             0.00099307
                     10,                0.92898,                 1.4651,                 1.1505,                0.90223,                0.64464,                0.83469,                0.65171,                0.85522,                 1.6412,                  1.105,             0.00099208,             0.00099208,             0.00099208
                     11,                0.91465,                 1.3735,                 1.1384,                0.86492,                0.86105,                0.92814,                0.70067,                0.78696,                 1.2925,                 1.0702,             0.00099109,             0.00099109,             0.00099109
                     12,                0.90112,                 1.3409,                 1.1289,                0.71505,                0.80926,                0.83074,                0.62882,                0.89396,                 1.3855,                 1.1129,              0.0009901,              0.0009901,              0.0009901
                     13,                0.87966,                  1.281,                 1.1174,                0.76791,                0.66524,                0.80065,                0.63694,                0.82249,                 1.5452,                 1.0852,             0.00098911,             0.00098911,             0.00098911
                     14,                0.86218,                 1.2133,                 1.1144,                0.89954,                0.79138,                   0.89,                0.72401,                0.73947,                 1.3639,                 1.0107,             0.00098812,             0.00098812,             0.00098812
                     15,                0.85787,                 1.2314,                 1.1251,                0.76404,                0.73661,                 0.8034,                0.61548,                0.85814,                 1.4617,                 1.1086,             0.00098713,             0.00098713,             0.00098713
                     16,                0.87167,                 1.2112,                 1.1195,                0.84247,                0.82079,                0.90621,                 0.7151,                0.74371,                 1.2916,                 1.0618,             0.00098614,             0.00098614,             0.00098614
                     17,                0.84756,                 1.1401,                 1.0993,                0.89939,                0.87065,                 0.9243,                0.73915,                0.74682,                 1.1249,                 1.0748,             0.00098515,             0.00098515,             0.00098515
                     18,                0.83909,                 1.0938,                 1.1014,                0.90405,                0.81082,                0.91319,                0.71749,                0.74052,                 1.1789,                 1.0828,             0.00098416,             0.00098416,             0.00098416
